MMT,201205011557353897,"Country Inn and Suite By Carlson Saket","New Delhi And NCR","A-1 DLF South Court Mall, District Centre, Saket , District Centre, Saket , New Delhi And NCR, India",4570,4,4,"Limited Time Discount!",1
MMT,200701121640393527,"Hotel Ajanta","New Delhi And NCR","36, Arakashan Road, Pahar Ganj, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",1706,3.7,3,"Last Minute Deal get 20&#037; discount &#033;&#033;",1
MMT,201209251553088359,"HBC - Hotel City Centre","New Delhi And NCR","L-118, Street No - 15, Mahipalpur, Mahipalpur, International Airport Zone, New Delhi And NCR, India",1190,2.4,3,"Last Minute Deal &#033;&#033;&#033;&#033;",1
MMT,201407242019374758,"Hotel All Iz Well","New Delhi And NCR","4781, Main Bazar, Six tooti Chowk, Pahar Ganj, New Delhi Railway Station, Pahar Ganj, New Delhi And NCR, India",938,4,3,"Hurry&#058; Book now and get Flat 50 &#037;Off",1
MMT,200709141347456889,"Yuvraj Deluxe","New Delhi And NCR","38,Arakashan Road, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",1200,3.5,3,"Flat 25&#037; Discount &#045; Last Minute Deal &#033;&#033;&#033;",1
MMT,201203030954037797,"Country Inn and Suites By Carlson, Sector-29","New Delhi And NCR","Plot No- 360-362, Sector-29, Sector-29, Near Kingdom Of Dreams Towards Huda City Centre Metro Station,Gurgaon, New Delhi And NCR, India",4236,4.3,4,"Zach Johnson Offer | Splendid Weekend Deal Get 20&#037; Off &#033;&#033;",0
MMT,20070228151807523,"The Metropolitan Hotel & Spa","New Delhi And NCR","Bangla Sahib Road, Bangla Sahib Road, Connaught Place, New Delhi And NCR, India",5167,4.1,5,,1
MMT,201204171409525440,"Hotel Hari Piorko","New Delhi And NCR","4775, MAIN BAZAR, Pahar Ganj,New Delhi Railway Station, New Delhi And NCR, India",1039,4.1,2,"Flat Rs 160 OFF",1
MMT,201106131446133420,"Hotel Janpath","New Delhi And NCR","Janpath Road,, Janpath,Central Delhi, New Delhi And NCR, India",4917,4.2,4,,0
MMT,200709141353202523,"Hotel Mohan International ","New Delhi And NCR","2,Arakashan Road, Paharganj, New Delhi Railway Station, New Delhi And NCR, India",1425,4,3,"Flat &#058; 25&#037; discount Last Minute Offer&#033;&#033;&#033;&#033;&#033;",1
MMT,201101121621322359,"Radisson Blu Marina Hotel Connaught Place","New Delhi And NCR","G-59, Connaught Circus, Connaught Place, Central Delhi, New Delhi And NCR, India",5361,4.1,4,"Extended Stay Rate | Splendid Weekend Deal Get 20&#037; Off &#033;&#033; | Non&#045;Smoking Room",0
MMT,201309021636532583,"WelcomHotel Dwarka","New Delhi And NCR","Plot No 3, District Center, Sector 10, Dwarka, Dwarka, New Delhi And NCR, India",4725,4.4,5,"Last Minute Deal &#045; Book Now and Get 10&#037; Discount &#033;&#033;&#033;",0
MMT,201309271831358563,"Hotel Toronto","New Delhi And NCR","10072/1,  Multani Dhanda, Paharaganj, Paharaganj, New Delhi And NCR, India",950,3.5,3,,0
MMT,200701211455342954,"The Lalit New Delhi","New Delhi And NCR","Barakhamba Ave, Connaught Place, Connaught Place, Central Delhi, New Delhi And NCR, India",6300,4.2,5,"Last Minute Deal &#045; 16&#037; Off&#033; | Last Minute Deal &#045; 15&#037; Off&#033;",0
MMT,200701241130593567,"Rupam Hotel","New Delhi And NCR","9A / 35, WEA Channa Market,, Karol Bagh, New Delhi And NCR, India",1560,4.1,3,"Book For 3 nights or More save 40 &#037;",1
MMT,201111071734139585,"Hotel Delhi Aerocity","New Delhi And NCR","104/2/2 M R Complex, Nr IGI Airport, Rangpuri Mahipalpur NH 8 , Mahipalpur, International Airport Zone , New Delhi And NCR, India",1995,3.7,3,,1
MMT,200902051033051287,"Hotel Delhi City Centre","New Delhi And NCR","8633-45, Arakashan road, Ram Nagar, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",999,3.8,2,"Special Summer Deal &#045; Flat 30&#037; off &#033;&#033;",1
MMT,201301081231305755,"OYO Rooms Huda City Center II","New Delhi And NCR","D 124 South City - 1, Gurgaon, New Delhi And NCR, India",1199,3.9,3,"Flat 50&#037; Off&#045;Limited Time Offer",1
MMT,200808141016162009,"IBIS Gurgaon","New Delhi And NCR","Block-1, Sector-53, golf Course Road, Sector-53, golf Course Road, New Delhi And NCR, India",3250,3.8,4,"Stay for 3 Pay for 2 &#033;&#033;",0
MMT,201007021321155840,"The Suryaa","New Delhi And NCR","New Friends Colony,, New Friends Colony, South Delhi, New Delhi And NCR, India",4750,4.2,5,"Book Now and Save 50&#037; ",1
